cat;name
IAB17-36;Сноуборд
IAB17-37;Серфинг/Бодибординг
IAB17-38;Плавание
IAB17-39;Настольный теннис/Пинг-понг
IAB17-40;Теннис
IAB17-41;Волейбол
IAB17-42;Ходьба
IAB17-43;Водные лыжи/вейкборд
IAB17-44;Мировой футбол
IAB18;Стиль и мода
IAB18-1;Красота
IAB18-2;Боди-арт
IAB18-3;Мода
IAB18-4;Ювелирные украшения
IAB18-5;Одежда
IAB18-6;Аксессуары
IAB19;Технологии и компьютеры
IAB19-1;3-D Графика
IAB19-2;Анимация
IAB19-3;Антивирусное ПО
IAB19-4;C/C++
IAB19-5;Камеры и видеокамеры
IAB19-6;Сотовые телефоны
IAB19-7;Компьютерная сертификация
IAB19-8;Компьютерные сети
IAB19-9;Компьютерная перифирия
IAB19-10;Обзоры компьютеров
IAB19-11;Дата центры
IAB19-12;Базы данных
IAB19-13;Десктопная публикация
IAB19-14;Десктопное видео
IAB19-15;Электронная почта
IAB19-16;Графическое ПО
IAB19-17;Домашнее видео/DVD
IAB19-18;Интернет-технологии
IAB19-19;Java
IAB19-20;JavaScript
IAB19-21;Поддержка компьютеров Mac
IAB19-22;MP3/MIDI
IAB19-23;Веб-конференции
IAB19-24;Интернет для начинающих
IAB19-25;Сетевая безопасность
IAB19-26;Портативные компьютеры/КПК
IAB19-27;Поддержка ПК
IAB19-28;Портативные устройства
IAB19-29;Развлечения
IAB19-30;Условно-бесплатные программы
IAB19-31;Unix
IAB19-32;Visual Basic
IAB19-33;Веб-клип арт
IAB19-34;Веб-дизайн/HTML
IAB19-35;Веб-поиск
IAB19-36;Windows
IAB20;Путешествия
IAB20-1;Приключения/путешествия
IAB20-2;Африка
IAB20-3;Авиапутешествия
IAB20-4;Австралия и Новая Зеландия
IAB20-5;Мини-гостиницы
IAB20-6;Бюджетные путешествия
IAB20-7;Деловые поездки
IAB20-8;Местные достопримечательности США
IAB20-9;Кемпинг
IAB20-10;Канада
IAB20-11;Карибы
IAB20-12;Круизы
IAB20-13;Восточная Европа
IAB20-14;Европа
IAB20-15;Франция
IAB20-16;Греция
IAB20-17;Медовый месяц/отдых для влюбленных
IAB20-18;Отели
IAB20-19;Италия
IAB20-20;Япония
IAB20-21;Мексика и Центральная Америка
IAB20-22;Национальные парки и заповедники
IAB20-23;Южная Америка
IAB20-24;Спа
IAB20-25;Тематические парки
IAB20-26;Путешествия с детьми
IAB20-27;Великобритания
IAB21;Недвижимость
IAB21-1;Апартаменты
IAB21-2;Архитектура
IAB21-3;Покупка/продажа домов
IAB22;Шоппинг и покупки
IAB22-1;Конкурсы и раздачи
IAB22-2;Купоны
IAB22-3;Сравнение товаров
IAB22-4;Двигатели
IAB23;Религия и духовность
IAB23-1;Альтернативные религии
IAB23-2;Атеизм/агностицизм
IAB23-3;Буддизм
IAB23-4;Католцизм
IAB23-5;Христианство
IAB23-6;Индуизм
IAB23-7;Ислам
IAB23-8;Иудаизм
IAB23-9;Церковь Святых последних дней
IAB23-10;Язычество/викканство
IAB24;Контент без категории
IAB25;Нестандартный контент
IAB25-1;Немодерируемый UGC (Контент, создаваемый пользователями)
IAB25-2;Экстремальное графическое/Откровенное насилие
IAB25-3;Порнография
IAB25-4;Непристойное содержание
IAB25-5;Хейт контент/Ненавистническое содержание
IAB25-6;На стадии разработки
IAB25-7; Мотивирующий/призывающий
IAB26;Незаконный контент
IAB26-1;Незаконный контент
IAB26-2;Взломанное/украденное ПО
IAB26-3;Шпионское ПО/Вирусы
